match,value
https://www.flashscore.sk/zapas/0K0fBYfH/#/porovnanie-kurzov/home-away/zakladny-cas,11.06
https://www.flashscore.sk/zapas/CdcbfwIf/#/porovnanie-kurzov/,13.2
https://www.flashscore.sk/zapas/dW9j2UKo/#/porovnanie-kurzov/,4.81
https://www.flashscore.sk/zapas/0hpnEVDO/#/porovnanie-kurzov/,2.1
https://www.flashscore.sk/zapas/CdcbfwIf/#/porovnanie-kurzov/,14.04
https://www.flashscore.sk/zapas/0hpnEVDO/#/porovnanie-kurzov/,2.43
https://www.flashscore.sk/zapas/6N8A9JJm/#/porovnanie-kurzov/home-away/zakladny-cas,1.18
https://www.flashscore.sk/zapas/0hpnEVDO/#/porovnanie-kurzov/,2.99
https://www.flashscore.sk/zapas/4bxIxvJ4/#/porovnanie-kurzov/,1.87
https://www.flashscore.sk/zapas/Am3p21Pm/#/porovnanie-kurzov/home-away/zakladny-cas,4.94
https://www.flashscore.sk/zapas/CdcbfwIf/#/porovnanie-kurzov/,14.87
https://www.flashscore.sk/zapas/dv0KNlAE/#/porovnanie-kurzov/home-away/zakladny-cas,1.7
https://www.flashscore.sk/zapas/dv0KNlAE/#/porovnanie-kurzov/home-away/zakladny-cas,2.91
https://www.flashscore.sk/zapas/Am3p21Pm/#/porovnanie-kurzov/home-away/zakladny-cas,5.63
https://www.flashscore.sk/zapas/KOuZOAyU/#/porovnanie-kurzov/home-away/zakladny-cas,1.1
https://www.flashscore.sk/zapas/Am3p21Pm/#/porovnanie-kurzov/home-away/zakladny-cas,7.13
https://www.flashscore.sk/zapas/jPuZ8TG4/#/porovnanie-kurzov/home-away/zakladny-cas,8.6
https://www.flashscore.sk/zapas/zJUY1gQd/#/porovnanie-kurzov/home-away/zakladny-cas,5.26
https://www.flashscore.sk/zapas/CdcbfwIf/#/porovnanie-kurzov/,16.53
https://www.flashscore.sk/zapas/CdcbfwIf/#/porovnanie-kurzov/,17.35
https://www.flashscore.sk/zapas/CdcbfwIf/#/porovnanie-kurzov/,18.18
https://www.flashscore.sk/zapas/CdcbfwIf/#/porovnanie-kurzov/,19.01
https://www.flashscore.sk/zapas/CdcbfwIf/#/porovnanie-kurzov/,19.83
https://www.flashscore.sk/zapas/vL04Wnof/#/porovnanie-kurzov/home-away/zakladny-cas,2.89
https://www.flashscore.sk/zapas/lEzIzvwg/#/porovnanie-kurzov/,4.44
https://www.flashscore.sk/zapas/AF5R5yJC/#/porovnanie-kurzov/home-away/zakladny-cas,1.26
https://www.flashscore.sk/zapas/KMGvMT2i/#/porovnanie-kurzov/home-away/zakladny-cas,24.62
https://www.flashscore.sk/zapas/CMvHsKKL/#/porovnanie-kurzov/home-away/zakladny-cas,2.21
https://www.flashscore.sk/zapas/Q3mLWweq/#/porovnanie-kurzov/home-away/zakladny-cas,1.48
https://www.flashscore.sk/zapas/lUpPNSGc/#/porovnanie-kurzov/home-away/zakladny-cas,14.73
https://www.flashscore.sk/zapas/4O3a77WG/#/porovnanie-kurzov/home-away/zakladny-cas,3.45
https://www.flashscore.sk/zapas/UgaYhqEU/#/porovnanie-kurzov/home-away/zakladny-cas,1.28
https://www.flashscore.sk/zapas/6ZEPy216/#/porovnanie-kurzov/home-away/zakladny-cas,2.02
https://www.flashscore.sk/zapas/WpheJCUJ/#/porovnanie-kurzov/home-away/zakladny-cas,2.2
https://www.flashscore.sk/zapas/nZX1FSy2/#/porovnanie-kurzov/,6.03
https://www.flashscore.sk/zapas/plUVwfPo/#/porovnanie-kurzov/home-away/zakladny-cas,2.35
https://www.flashscore.sk/zapas/4vnyn1s4/#/porovnanie-kurzov/home-away/zakladny-cas,3.94
https://www.flashscore.sk/zapas/6LXGYsb4/#/porovnanie-kurzov/home-away/zakladny-cas,1.31
https://www.flashscore.sk/zapas/Iuq3hawn/#/porovnanie-kurzov/home-away/zakladny-cas,1.25
https://www.flashscore.sk/zapas/WreivbF5/#/porovnanie-kurzov/,3.63
https://www.flashscore.sk/zapas/MgZb6t4D/#/porovnanie-kurzov/home-away/zakladny-cas,6.94
https://www.flashscore.sk/zapas/WreivbF5/#/porovnanie-kurzov/,4.03
https://www.flashscore.sk/zapas/hKYT2a5n/#/porovnanie-kurzov/,3.96
https://www.flashscore.sk/zapas/vwp2gfoB/#/porovnanie-kurzov/home-away/zakladny-cas,1.68
https://www.flashscore.sk/zapas/6RbmJHWg/#/porovnanie-kurzov/home-away/zakladny-cas,1.61
https://www.flashscore.sk/zapas/nyPahvRl/#/porovnanie-kurzov/home-away/zakladny-cas,6.37
https://www.flashscore.sk/zapas/fa3mdFYm/#/porovnanie-kurzov/,2.48
https://www.flashscore.sk/zapas/fa3mdFYm/#/porovnanie-kurzov/,3.0
https://www.flashscore.sk/zapas/E74NCzZA/#/porovnanie-kurzov/,4.25
https://www.flashscore.sk/zapas/QB17bnKA/#/porovnanie-kurzov/,1.42
https://www.flashscore.sk/zapas/Io0Ct3Gg/#/porovnanie-kurzov/,4.88
https://www.flashscore.sk/zapas/CSRdLQlb/#/porovnanie-kurzov/,1.5
https://www.flashscore.sk/zapas/2FJwNth6/#/porovnanie-kurzov/,19.81
https://www.flashscore.sk/zapas/CSRdLQlb/#/porovnanie-kurzov/,20.26
https://www.flashscore.sk/zapas/lvzAkylT/#/porovnanie-kurzov/home-away/zakladny-cas,1.11
https://www.flashscore.sk/zapas/2FJwNth6/#/porovnanie-kurzov/,23.51
https://www.flashscore.sk/zapas/2FJwNth6/#/porovnanie-kurzov/,23.58
https://www.flashscore.sk/zapas/2FJwNth6/#/porovnanie-kurzov/,28.78
https://www.flashscore.sk/zapas/Yi92HbKu/#/porovnanie-kurzov/,2.0
https://www.flashscore.sk/zapas/Cr86GIZo/#/porovnanie-kurzov/,3.3
https://www.flashscore.sk/zapas/YeHefSIq/#/porovnanie-kurzov/,4.47
https://www.flashscore.sk/zapas/YeHefSIq/#/porovnanie-kurzov/,5.03
https://www.flashscore.sk/zapas/xM9vG6RT/#/porovnanie-kurzov/home-away/zakladny-cas,1.65
https://www.flashscore.sk/zapas/2FJwNth6/#/porovnanie-kurzov/,29.51
https://www.flashscore.sk/zapas/vF5Bc6ZG/#/porovnanie-kurzov/,7.31
https://www.flashscore.sk/zapas/vF5Bc6ZG/#/porovnanie-kurzov/,26.33
https://www.flashscore.sk/zapas/2FJwNth6/#/porovnanie-kurzov/,37.52
https://www.flashscore.sk/zapas/WCtni4Cp/#/porovnanie-kurzov/,5.74
https://www.flashscore.sk/zapas/nBmxPq4p/#/porovnanie-kurzov/home-away/zakladny-cas,6.58
https://www.flashscore.sk/zapas/WGMq1Vf6/#/porovnanie-kurzov/,19.1
https://www.flashscore.sk/zapas/MXJOEu6M/#/porovnanie-kurzov/,5.29
https://www.flashscore.sk/zapas/SxRt0ck5/#/porovnanie-kurzov/,2.09
https://www.flashscore.sk/zapas/dExs07Sh/#/porovnanie-kurzov/,6.19
https://www.flashscore.sk/zapas/nF337cbd/#/porovnanie-kurzov/,3.56
https://www.flashscore.sk/zapas/84WA0IT4/#/porovnanie-kurzov/home-away/zakladny-cas,3.82
https://www.flashscore.sk/zapas/2P6efg30/#/porovnanie-kurzov/,1.24
https://www.flashscore.sk/zapas/6Jf3Pu3l/#/porovnanie-kurzov/home-away/zakladny-cas,1.47
https://www.flashscore.sk/zapas/tSooKaqa/#/porovnanie-kurzov/,2.78
https://www.flashscore.sk/zapas/rgcwoTmF/#/porovnanie-kurzov/,2.88
https://www.flashscore.sk/zapas/EupgIwEB/#/porovnanie-kurzov/,2.53
https://www.flashscore.sk/zapas/lIlZqhSs/#/porovnanie-kurzov/home-away/zakladny-cas,2.3
https://www.flashscore.sk/zapas/f902daJe/#/porovnanie-kurzov/home-away/zakladny-cas,4.64
