match,value
https://www.flashscore.sk/zapas/dMAyhw3K/#/porovnanie-kurzov/,-1.49
https://www.flashscore.sk/zapas/EXHP9LE1/#/porovnanie-kurzov/,1.14
https://www.flashscore.sk/zapas/p4zcS6Vo/#/porovnanie-kurzov/,5.44
https://www.flashscore.sk/zapas/xOKx9EWr/#/porovnanie-kurzov/,1.11
https://www.flashscore.sk/zapas/Qy17nHQs/#/porovnanie-kurzov/,1.47
https://www.flashscore.sk/zapas/I18FWrME/#/porovnanie-kurzov/,1.88
https://www.flashscore.sk/zapas/n9xag9ac/#/porovnanie-kurzov/,25.89
https://www.flashscore.sk/zapas/Eq6bIkP3/#/porovnanie-kurzov/,2.31
https://www.flashscore.sk/zapas/rPi7ChXQ/#/porovnanie-kurzov/,1.03
https://www.flashscore.sk/zapas/8zZrxraA/#/porovnanie-kurzov/,10.39
https://www.flashscore.sk/zapas/UVxHr8iq/#/porovnanie-kurzov/,1.75
https://www.flashscore.sk/zapas/f9hCJ5D2/#/porovnanie-kurzov/,1.89
https://www.flashscore.sk/zapas/f9hCJ5D2/#/porovnanie-kurzov/,2.07
https://www.flashscore.sk/zapas/jVQj4Uv7/#/porovnanie-kurzov/,3.27
https://www.flashscore.sk/zapas/G25p56b9/#/porovnanie-kurzov/,1.55
https://www.flashscore.sk/zapas/M9VLM2aN/#/porovnanie-kurzov/,11.62
https://www.flashscore.sk/zapas/nycTNBLi/#/porovnanie-kurzov/,1.07
https://www.flashscore.sk/zapas/WSEt08Tp/#/porovnanie-kurzov/,1.73
https://www.flashscore.sk/zapas/0KpILmtn/#/porovnanie-kurzov/,1.69
https://www.flashscore.sk/zapas/rqzNK7eh/#/porovnanie-kurzov/,2.12
https://www.flashscore.sk/zapas/Kvn0wg5A/#/porovnanie-kurzov/,1.29
https://www.flashscore.sk/zapas/YuocXlJ0/#/porovnanie-kurzov/,2.02
https://www.flashscore.sk/zapas/hIF3vZk4/#/porovnanie-kurzov/,2.53
https://www.flashscore.sk/zapas/AB1uOMPp/#/porovnanie-kurzov/,4.24
https://www.flashscore.sk/zapas/viHfU9Xs/#/porovnanie-kurzov/,19.22
https://www.flashscore.sk/zapas/pCEdNo7F/#/porovnanie-kurzov/,3.07
https://www.flashscore.sk/zapas/McHDANXp/#/porovnanie-kurzov/,1.3
https://www.flashscore.sk/zapas/zg9QXX3i/#/porovnanie-kurzov/,1.87
https://www.flashscore.sk/zapas/jiUtMYyR/#/porovnanie-kurzov/,1.16
https://www.flashscore.sk/zapas/htvj4C1p/#/porovnanie-kurzov/,3.37
https://www.flashscore.sk/zapas/x8AvA0y4/#/porovnanie-kurzov/,1.93
https://www.flashscore.sk/zapas/h0C93IXK/#/porovnanie-kurzov/,3.73
https://www.flashscore.sk/zapas/dj2dIS1Q/#/porovnanie-kurzov/,6.31
https://www.flashscore.sk/zapas/nTpjwl4q/#/porovnanie-kurzov/,1.11
https://www.flashscore.sk/zapas/I5CJyStN/#/porovnanie-kurzov/,1.17
https://www.flashscore.sk/zapas/WK2ZVBY3/#/porovnanie-kurzov/,2.6
https://www.flashscore.sk/zapas/Gfo50QeJ/#/porovnanie-kurzov/,1.03
https://www.flashscore.sk/zapas/Gv17R75o/#/porovnanie-kurzov/,7.19
https://www.flashscore.sk/zapas/IRsWaGDd/#/porovnanie-kurzov/,7.99
https://www.flashscore.sk/zapas/f56damel/#/porovnanie-kurzov/,4.55
https://www.flashscore.sk/zapas/t22h0Tur/#/porovnanie-kurzov/,1.64
https://www.flashscore.sk/zapas/vZD0M5ML/#/porovnanie-kurzov/,3.72
https://www.flashscore.sk/zapas/zubLsDEQ/#/porovnanie-kurzov/,2.16
https://www.flashscore.sk/zapas/pzsr19k7/#/porovnanie-kurzov/,2.05
https://www.flashscore.sk/zapas/zapUj4vF/#/porovnanie-kurzov/,4.74
https://www.flashscore.sk/zapas/pzsr19k7/#/porovnanie-kurzov/,3.04
https://www.flashscore.sk/zapas/A1UTC1M9/#/porovnanie-kurzov/,1.03
https://www.flashscore.sk/zapas/A1UTC1M9/#/porovnanie-kurzov/,1.92
https://www.flashscore.sk/zapas/O2BMMK8h/#/porovnanie-kurzov/,1.05
https://www.flashscore.sk/zapas/pzsr19k7/#/porovnanie-kurzov/,7.75
https://www.flashscore.sk/zapas/8GAliYLr/#/porovnanie-kurzov/,1.65
https://www.flashscore.sk/zapas/bJrz3VKf/#/porovnanie-kurzov/,1.65
https://www.flashscore.sk/zapas/vsUKy1RQ/#/porovnanie-kurzov/,2.13
https://www.flashscore.sk/zapas/KMdNpsr4/#/porovnanie-kurzov/,3.77
https://www.flashscore.sk/zapas/IBHYvPaq/#/porovnanie-kurzov/,1.52
https://www.flashscore.sk/zapas/jXRvVkl3/#/porovnanie-kurzov/,1.25
https://www.flashscore.sk/zapas/bcVnTTIF/#/porovnanie-kurzov/,1.21
https://www.flashscore.sk/zapas/bcVnTTIF/#/porovnanie-kurzov/,1.22
https://www.flashscore.sk/zapas/KCJeR7mS/#/porovnanie-kurzov/,3.15
https://www.flashscore.sk/zapas/ClNa7ndd/#/porovnanie-kurzov/,2.53
https://www.flashscore.sk/zapas/CU6XNRaj/#/porovnanie-kurzov/,4.94
https://www.flashscore.sk/zapas/K0yebjzN/#/porovnanie-kurzov/,1.5
https://www.flashscore.sk/zapas/dSVoKXzF/#/porovnanie-kurzov/,3.55
https://www.flashscore.sk/zapas/K0yebjzN/#/porovnanie-kurzov/,1.99
https://www.flashscore.sk/zapas/K0yebjzN/#/porovnanie-kurzov/,3.1
https://www.flashscore.sk/zapas/lls1nG3a/#/porovnanie-kurzov/,4.85
https://www.flashscore.sk/zapas/K0yebjzN/#/porovnanie-kurzov/,8.18
https://www.flashscore.sk/zapas/K0yebjzN/#/porovnanie-kurzov/,8.39
https://www.flashscore.sk/zapas/UR2wZ9ya/#/porovnanie-kurzov/,2.51
https://www.flashscore.sk/zapas/vPzsqSqA/#/porovnanie-kurzov/,1.23
https://www.flashscore.sk/zapas/xMVdUBIf/#/porovnanie-kurzov/,3.69
https://www.flashscore.sk/zapas/WGAI0gdA/#/porovnanie-kurzov/,2.77
https://www.flashscore.sk/zapas/0GKJfVkT/#/porovnanie-kurzov/,2.49
https://www.flashscore.sk/zapas/4bz1zoQr/#/porovnanie-kurzov/,1.2
https://www.flashscore.sk/zapas/pQL2Av7d/#/porovnanie-kurzov/,1.78
https://www.flashscore.sk/zapas/YJaWK5Qe/#/porovnanie-kurzov/,9.0
