match,value
https://www.flashscore.sk/zapas/rLPB5kaJ/#/porovnanie-kurzov/,1.36
https://www.flashscore.sk/zapas/p6wZqlNi/#/porovnanie-kurzov/,3.61
https://www.flashscore.sk/zapas/xUeD9034/#/porovnanie-kurzov/,1.5
https://www.flashscore.sk/zapas/babVqEIS/#/porovnanie-kurzov/,1.12
https://www.flashscore.sk/zapas/d4wTY6ZB/#/porovnanie-kurzov/,1.54
https://www.flashscore.sk/zapas/GWK2D2e5/#/porovnanie-kurzov/,1.92
https://www.flashscore.sk/zapas/2sCDkwQF/#/porovnanie-kurzov/,2.95
https://www.flashscore.sk/zapas/2sCDkwQF/#/porovnanie-kurzov/,4.14
https://www.flashscore.sk/zapas/2sCDkwQF/#/porovnanie-kurzov/,4.21
https://www.flashscore.sk/zapas/KznxvGEp/#/porovnanie-kurzov/,3.94
https://www.flashscore.sk/zapas/babVqEIS/#/porovnanie-kurzov/,1.18
https://www.flashscore.sk/zapas/48wxxgFP/#/porovnanie-kurzov/,1.17
https://www.flashscore.sk/zapas/babVqEIS/#/porovnanie-kurzov/,1.21
https://www.flashscore.sk/zapas/8QmJ1cDM/#/porovnanie-kurzov/,5.52
https://www.flashscore.sk/zapas/h61wVu0o/#/porovnanie-kurzov/,2.95
https://www.flashscore.sk/zapas/jF6uOBWB/#/porovnanie-kurzov/,1.82
https://www.flashscore.sk/zapas/MwkKzUG6/#/porovnanie-kurzov/,1.07
https://www.flashscore.sk/zapas/jXLnOaIc/#/porovnanie-kurzov/,1.1
https://www.flashscore.sk/zapas/babVqEIS/#/porovnanie-kurzov/,1.36
https://www.flashscore.sk/zapas/2X4MozlG/#/porovnanie-kurzov/,1.39
https://www.flashscore.sk/zapas/babVqEIS/#/porovnanie-kurzov/,1.47
https://www.flashscore.sk/zapas/jXLnOaIc/#/porovnanie-kurzov/,2.32
https://www.flashscore.sk/zapas/babVqEIS/#/porovnanie-kurzov/,1.81
https://www.flashscore.sk/zapas/hUZON5oC/#/porovnanie-kurzov/,3.12
https://www.flashscore.sk/zapas/babVqEIS/#/porovnanie-kurzov/,2.06
https://www.flashscore.sk/zapas/M954jIPe/#/porovnanie-kurzov/,1.91
https://www.flashscore.sk/zapas/babVqEIS/#/porovnanie-kurzov/,2.23
https://www.flashscore.sk/zapas/KhsOGvsf/#/porovnanie-kurzov/,2.25
https://www.flashscore.sk/zapas/M954jIPe/#/porovnanie-kurzov/,3.27
https://www.flashscore.sk/zapas/2X4MozlG/#/porovnanie-kurzov/,1.42
https://www.flashscore.sk/zapas/6FvVpU7o/#/porovnanie-kurzov/,1.9
https://www.flashscore.sk/zapas/48wxxgFP/#/porovnanie-kurzov/,1.31
https://www.flashscore.sk/zapas/MqffpDNo/#/porovnanie-kurzov/,1.29
https://www.flashscore.sk/zapas/OKYdAtMp/#/porovnanie-kurzov/,1.12
https://www.flashscore.sk/zapas/M5i090yi/#/porovnanie-kurzov/,1.07
https://www.flashscore.sk/zapas/8A5InGY9/#/porovnanie-kurzov/,1.36
https://www.flashscore.sk/zapas/babVqEIS/#/porovnanie-kurzov/,2.41
https://www.flashscore.sk/zapas/babVqEIS/#/porovnanie-kurzov/,2.61
https://www.flashscore.sk/zapas/2X4MozlG/#/porovnanie-kurzov/,1.65
https://www.flashscore.sk/zapas/AsM0i7Vb/#/porovnanie-kurzov/,1.84
https://www.flashscore.sk/zapas/tMU7Adif/#/porovnanie-kurzov/,2.61
https://www.flashscore.sk/zapas/KQhPhnrr/#/porovnanie-kurzov/,1.38
https://www.flashscore.sk/zapas/48wxxgFP/#/porovnanie-kurzov/,1.58
https://www.flashscore.sk/zapas/OKYdAtMp/#/porovnanie-kurzov/,1.19
https://www.flashscore.sk/zapas/M5i090yi/#/porovnanie-kurzov/,1.19
https://www.flashscore.sk/zapas/ltF8WWxm/#/porovnanie-kurzov/,1.11
https://www.flashscore.sk/zapas/dOew1fiA/#/porovnanie-kurzov/,1.73
https://www.flashscore.sk/zapas/joyWDu3N/#/porovnanie-kurzov/,3.99
https://www.flashscore.sk/zapas/EDVy291e/#/porovnanie-kurzov/,1.52
https://www.flashscore.sk/zapas/ShwYWqOa/#/porovnanie-kurzov/,1.07
https://www.flashscore.sk/zapas/xh4nxrJd/#/porovnanie-kurzov/,2.43
https://www.flashscore.sk/zapas/ELknTJUc/#/porovnanie-kurzov/,1.06
https://www.flashscore.sk/zapas/ShwYWqOa/#/porovnanie-kurzov/,1.6
https://www.flashscore.sk/zapas/8d6GD607/#/porovnanie-kurzov/,4.04
